sequence,store_name,latitude,longitude,address,weather,temperature,time_to_next
0,Starting Point,19.197390924721947,72.99068873350765,Depot/Warehouse,Moderate or heavy rain shower,26.3,102.26786041259766
1,Fort,18.93,72.83,"Elphinstone Building, Horniman Circle, Veer Nariman Road, Fort",Moderate or heavy rain shower,26.3,3.1892549991607666
2,Nariman Point,18.93,72.82,"Ground Floor, Shree Nirmal Building, Behind Trident Hotel, Nariman Point",Moderate or heavy rain shower,26.3,26.558271408081055
3,Prabhadevi,19.01,72.82,"Upper Ground Floor, Century Bhavan, Century Bazaar, Prabhadevi",Moderate or heavy rain shower,26.3,13.65289306640625
4,Bandra West - Chapel road,19.05,72.83,"Reclamation, Chapel Road, Near Lilavati Hospital",Moderate or heavy rain shower,26.3,8.855817794799805
5,Santacruz West,19.08,72.83,"Grd Flr Red Chillies Entertainment Bldg, Jct of 15th Rd and Ram Krishna MissionRd",Moderate or heavy rain shower,26.3,16.02075958251953
6,Andheri West - Four Bunglows,19.13,72.82,"Kokilaben Dhirubhai Ambani Hospital, Four Bunglows, Andheri (West)",Moderate or heavy rain shower,26.3,4.156368255615234
7,Andheri West - Infiniti Mall,19.14,72.83,"Ground Floor, Infiniti Mall, New Link Road, Andheri (West)",Moderate or heavy rain shower,26.3,13.284258842468262
8,Malad West - Infiniti Mall,19.18,72.83,"Upper Ground Floor, Infiniti Mall, Link Road,  Malad (West)",Moderate or heavy rain shower,26.3,38.319698333740234
9,Ghatkopar West,19.1,72.92,"Gound Floor, R City Mall, Lal Bahadur Shastri Marg",Moderate or heavy rain shower,26.3,39.359130859375
10,Thane West - Viviana Mall,19.21,72.97,"Ground Floor, Viviana Mall, Thane West, Opp Eastern Express Highway",Moderate or heavy rain shower,26.3,7.755247116088867
